stim_id,source_utt,canonical_text,substituted_text,word_index,original_word,substituted_word,rule,distortion_target_word_index,distortion_type,clean_word_start,clean_word_end,dist_made
S0159,000920104,MARK GOT THE T SHIRT,MAR GOT THE T SHIRT,0,MARK,MAR,FINAL_STOP_DROP,0,stretch_1.6x,0.0,0.2,yes
S0160,000920122,SO JOHN WENT ON FOOT,SO JOHN WENT ON FOO,4,FOOT,FOO,FINAL_STOP_DROP,4,stretch_2.0x,0.9,1.12,yes
S0161,000920126,MARY THIS IS GARDEN BEACH,MARY SIS IS GARDEN BEACH,1,THIS,SIS,TH->S,1,stretch_1.6x,0.4,0.54,yes
S0162,000920129,SAND LIKE THE SWEET POTATO,SAN LIKE THE SWEET POTATO,0,SAND,SAN,FINAL_STOP_DROP,0,stretch_1.6x,0.0,0.22,yes
S0163,000920134,MIKE LIKE THE LEEK,MIKE LIKE THE REEK,3,LEEK,REEK,L->R,3,stretch_1.6x,,,no
S0164,000920136,SHE WANTS TO BE A DOCTOR,SHE VANTS TO BE A DOCTOR,1,WANTS,VANTS,W->V,1,stretch_2.0x,0.1,0.26,yes
S0165,000920149,JOHN LIKES THE BIG SEE TRAIN NOW,JOHN RIKES THE BIG SEE TRAIN NOW,1,LIKES,RIKES,L->R,1,stretch_1.6x,0.18,0.4,yes
S0166,000920167,THEY NEED NEW HOMES,THEY NEE NEW HOMES,1,NEED,NEE,FINAL_STOP_DROP,1,stretch_1.6x,0.1,0.24,yes
S0167,000930014,BOBBY CAN SEE THE GOAT,BOBBY CAN SEE THE GOA,4,GOAT,GOA,FINAL_STOP_DROP,4,stretch_2.0x,0.78,0.92,yes
S0168,000930018,JOHN IS GO KING TO SEE CAT,JOHN IS GO KIN TO SEE CAT,3,KING,KIN,FINAL_STOP_DROP,3,stretch_2.0x,0.52,0.8,yes
S0169,000930035,NINE EIGHT ONE SEEK,NINE EIGHT ONE SEE,3,SEEK,SEE,FINAL_STOP_DROP,3,stretch_1.6x,0.58,1.14,yes
S0170,000930089,DORA HAS A BIG FOOT,DORA HAS A BIG FOO,4,FOOT,FOO,FINAL_STOP_DROP,4,stretch_2.0x,0.74,1.06,yes
S0171,000930091,MARY HAS A BEAUTIFUL STOCK,MARY HAS A BEAUTIFUL STOC,4,STOCK,STOC,FINAL_STOP_DROP,4,stretch_1.6x,,,no
S0172,000930095,KATE LOVE NEW PANTS,KATE ROVE NEW PANTS,1,LOVE,ROVE,L->R,1,stretch_1.6x,0.16,0.38,yes
S0173,000930101,LOOK AT MARY'S CAP,ROOK AT MARY'S CAP,0,LOOK,ROOK,L->R,0,stretch_2.0x,0.0,0.14,yes
S0174,000930111,BOBBY CAN SEE THE TIME A PARK,BOBBY CAN SEE THE TIME A PAR,6,PARK,PAR,FINAL_STOP_DROP,6,stretch_2.0x,,,no
S0175,000930148,TINA LIFE IN NEW USUAL,TINA RIFE IN NEW USUAL,1,LIFE,RIFE,L->R,1,stretch_2.0x,0.14,0.42,yes
S0176,000930151,ANDY SHE BOOT IT,ANDY SHE BOO IT,2,BOOT,BOO,FINAL_STOP_DROP,2,stretch_2.0x,,,no
S0177,000940012,LILLY IS GOING TO SEE ZEBRA,LILLY IS GOIN TO SEE ZEBRA,2,GOING,GOIN,FINAL_STOP_DROP,2,stretch_1.6x,0.62,0.84,yes
S0178,000940015,ANDY IS GOING TO SEE BIRD,ANDY IS GOIN TO SEE BIRD,2,GOING,GOIN,FINAL_STOP_DROP,2,stretch_2.0x,0.52,0.74,yes
S0179,000940021,LYNDA LIVES IN CANADA,LYNDA RIVES IN CANADA,1,LIVES,RIVES,L->R,1,stretch_2.0x,,,no
S0180,000940067,TEDDY IS GOOD AT TENNIS,TEDDY IS GOO AT TENNIS,2,GOOD,GOO,FINAL_STOP_DROP,2,stretch_1.6x,0.36,0.52,yes
S0181,000940086,LOOK AT MY HAND,LOOK AT MY HAN,3,HAND,HAN,FINAL_STOP_DROP,3,stretch_2.0x,0.48,0.76,yes
S0182,000940102,BILLY NEEDS NEW RAINCOAT,BILLY NEEDS NEW LAINCOAT,3,RAINCOAT,LAINCOAT,R->L,3,stretch_2.0x,0.7,1.16,yes
S0183,000940103,ALICE LOVES THE NEW COAT,ALICE ROVES THE NEW COAT,1,LOVES,ROVES,L->R,1,stretch_2.0x,0.26,0.6,yes
S0184,000940122,SO JAYME WENT ON TO THE PET SHOP,SO JAYME VENT ON TO THE PET SHOP,2,WENT,VENT,W->V,2,stretch_2.0x,0.34,0.68,yes
S0185,000940133,JAYME GOT THE EGGPLANT,JAYME GOT THE EGGPLAN,3,EGGPLANT,EGGPLAN,FINAL_STOP_DROP,3,stretch_2.0x,0.52,0.94,yes
S0186,000940147,JACK LIVES IN BERLIN NOW,JAC LIVES IN BERLIN NOW,0,JACK,JAC,FINAL_STOP_DROP,0,stretch_1.6x,0.0,0.18,yes
S0187,000940173,IS IT THE TIGER THEN,IS IT THE TIGER SEN,4,THEN,SEN,TH->S,4,stretch_2.0x,0.62,0.9,yes
S0188,000960040,THREE THREE THERE NINE,THREE THREE SERE NINE,2,THERE,SERE,TH->S,2,stretch_2.0x,0.28,0.5,yes
S0189,000960066,LEE LILLY GIVES UP BASEBALL,LEE RILLY GIVES UP BASEBALL,1,LILLY,RILLY,L->R,1,stretch_1.6x,0.18,0.38,yes
S0190,000960073,SANDY GIVES UP BOXING,SANDY GIVES UP BOXIN,3,BOXING,BOXIN,FINAL_STOP_DROP,3,stretch_2.0x,0.72,1.12,yes
S0191,000960084,BETTER BY PETER LIKES LAMB,BETTER BY PETER LIKES RAMB,4,LAMB,RAMB,L->R,4,stretch_2.0x,,,no
S0192,000960093,I LIKE MY OLD CAP,I LIKE MY OL CAP,3,OLD,OL,FINAL_STOP_DROP,3,stretch_2.0x,0.48,0.7,yes
S0193,000960136,HE WANTS TO BE A CLEANER,HE VANTS TO BE A CLEANER,1,WANTS,VANTS,W->V,1,stretch_1.6x,0.1,0.26,yes
S0194,001030008,JACK HAS GOT SOME LEMON,JACK HAS GOT SOME REMON,4,LEMON,REMON,L->R,4,stretch_2.0x,0.82,1.1,yes
S0195,001030060,RELATIVES N U S A,LELATIVES N U S A,0,RELATIVES,LELATIVES,R->L,0,stretch_2.0x,0.0,0.56,yes
S0196,001030077,JIM ATE A LITTLE TOLL FULL,JIM ATE A RITTLE TOLL FULL,3,LITTLE,RITTLE,L->R,3,stretch_1.6x,0.6,0.78,yes
S0197,001030078,DOES TOM LIKE THE CHICKEN,DOES TOM RIKE THE CHICKEN,2,LIKE,RIKE,L->R,2,stretch_2.0x,0.5,0.72,yes
S0198,001030102,DORA NEEDS NEW T SHIRT,DORA NEEDS NEW T SHIR,4,SHIRT,SHIR,FINAL_STOP_DROP,4,stretch_2.0x,0.96,1.24,yes
S0199,001030103,JOHN LOVES THE NEW GLOVES,JOHN ROVES THE NEW GLOVES,1,LOVES,ROVES,L->R,1,stretch_2.0x,0.24,0.52,yes
S0200,001030121,THEN KATE WALKS TO BANK,THEN KATE VALKS TO BANK,2,WALKS,VALKS,W->V,2,stretch_2.0x,0.4,0.66,yes
S0201,001030136,HE WANTS TO BE A FARMER,HE VANTS TO BE A FARMER,1,WANTS,VANTS,W->V,1,stretch_2.0x,0.1,0.24,yes
S0202,001030143,BILL LIKES THE P E CLASS,BILL RIKES THE P E CLASS,1,LIKES,RIKES,L->R,1,stretch_1.6x,0.14,0.36,yes
S0203,001030144,MANDY WENT TO THE ART CLASS,MANDY WENT TO THE AR CLASS,4,ART,AR,FINAL_STOP_DROP,4,stretch_2.0x,0.82,1.0,yes
S0204,001040022,MANDY LIVES IN LAOS,MANDY RIVES IN LAOS,1,LIVES,RIVES,L->R,1,stretch_1.6x,0.3,0.62,yes
S0205,001040067,LAYLA IS GOOD AT SURFING,LAYLA IS GOOD AT SURFIN,4,SURFING,SURFIN,FINAL_STOP_DROP,4,stretch_2.0x,0.86,1.24,yes
S0206,001040069,LILLY GIVES UP HOCKEY,RILLY GIVES UP HOCKEY,0,LILLY,RILLY,L->R,0,stretch_1.6x,,,no
S0207,001040073,MARK GIVES UP HANDBALL,MAR GIVES UP HANDBALL,0,MARK,MAR,FINAL_STOP_DROP,0,stretch_1.6x,0.0,0.2,yes
S0208,001040100,JOHN LIKES YOUR BLUE JACKET,JOHN RIKES YOUR BLUE JACKET,1,LIKES,RIKES,L->R,1,stretch_1.6x,0.32,0.54,yes
S0209,001040106,BILLY CAN SEE THE VAN,BILLY CAN SEE THE WAN,4,VAN,WAN,V->W,4,stretch_1.6x,0.82,1.02,yes
S0210,001040108,I CAN PAINT MY SUBWAY,I CAN PAIN MY SUBWAY,2,PAINT,PAIN,FINAL_STOP_DROP,2,stretch_2.0x,0.28,0.48,yes
S0211,001040115,THEN MANDY WHAT TO TOILET,SEN MANDY WHAT TO TOILET,0,THEN,SEN,TH->S,0,stretch_2.0x,0.0,0.22,yes
S0212,001040122,SO BILLY WENT ON TO HOME,SO BILLY VENT ON TO HOME,2,WENT,VENT,W->V,2,stretch_2.0x,0.34,0.68,yes
S0213,001040134,SANDY LIKE THE TOMATO,SANDY RIKE THE TOMATO,1,LIKE,RIKE,L->R,1,stretch_1.6x,0.22,0.42,yes
S0214,001040136,HE WANT TO BE A SINGER,HE VANT TO BE A SINGER,1,WANT,VANT,W->V,1,stretch_1.6x,0.14,0.32,yes
S0215,001040149,MIKE LIKE THE BIG GEN GEN CITY NEW YORK,MIKE LIKE THE BIG GEN GEN CITY NEW YOR,8,YORK,YOR,FINAL_STOP_DROP,8,stretch_1.6x,1.9,2.14,yes
S0216,001110067,BILLY IS GOOD AT RACING,BILLY IS GOO AT RACING,2,GOOD,GOO,FINAL_STOP_DROP,2,stretch_2.0x,0.38,0.58,yes
S0217,001110072,MANDY IS GOOD AT GOLF,MANDY IS GOO AT GOLF,2,GOOD,GOO,FINAL_STOP_DROP,2,stretch_1.6x,0.5,0.66,yes
S0218,001110076,JIM WANTS HAVE SOME PORK,JIM VANTS HAVE SOME PORK,1,WANTS,VANTS,W->V,1,stretch_2.0x,,,no
S0219,001110094,MIKE LIKES THE OLD DRESS,MIKE RIKES THE OLD DRESS,1,LIKES,RIKES,L->R,1,stretch_2.0x,0.16,0.46,yes
S0220,001110099,MARK HAS A BEAUTIFUL SOCKS,MAR HAS A BEAUTIFUL SOCKS,0,MARK,MAR,FINAL_STOP_DROP,0,stretch_2.0x,0.0,0.2,yes
S0221,001110114,JIM WAS WALKING TO BATHROOM,JIM WAS VALKING TO BATHROOM,2,WALKING,VALKING,W->V,2,stretch_2.0x,0.3,0.58,yes
S0222,001110122,SO ANDY WENT ON TO RESTROOM,SO ANDY VENT ON TO RESTROOM,2,WENT,VENT,W->V,2,stretch_2.0x,0.36,0.64,yes
S0223,001110129,JIM LIKES THE CORN,JIM RIKES THE CORN,1,LIKES,RIKES,L->R,1,stretch_2.0x,0.3,0.48,yes
S0224,001110137,ALICE WANTS TO BE A POLICE,ALICE VANTS TO BE A POLICE,1,WANTS,VANTS,W->V,1,stretch_2.0x,0.22,0.48,yes
S0225,001110151,AND HERE ARE THE DUCKS,AN HERE ARE THE DUCKS,0,AND,AN,FINAL_STOP_DROP,0,stretch_1.6x,0.0,0.18,yes
S0226,001110173,AND ONE OF FISH PLEASE,AN ONE OF FISH PLEASE,0,AND,AN,FINAL_STOP_DROP,0,stretch_2.0x,0.0,0.14,yes
S0227,001120013,LAYLA CAN DRAW THE DONKEY,RAYLA CAN DRAW THE DONKEY,0,LAYLA,RAYLA,L->R,0,stretch_2.0x,0.0,0.32,yes
S0228,001120078,DOES JOHN LIKE THE BISCUIT,DOES JOHN RIKE THE BISCUIT,2,LIKE,RIKE,L->R,2,stretch_2.0x,0.36,0.62,yes
S0229,001120097,JAYME LIKES THE OLD GLOVES,JAYME LIKES THE OL GLOVES,3,OLD,OL,FINAL_STOP_DROP,3,stretch_2.0x,0.9,1.1,yes
S0230,001120098,ANN LIKES YOUR RED SHIRT,ANN LIKES YOUR RED SHIR,4,SHIRT,SHIR,FINAL_STOP_DROP,4,stretch_1.6x,0.9,1.2,yes
S0231,001120101,LOOK AT TOM'S JEANS,ROOK AT TOM'S JEANS,0,LOOK,ROOK,L->R,0,stretch_1.6x,0.0,0.16,yes
S0232,001120105,LISA LIKES YOUR BLUE CLOTH,RISA LIKES YOUR BLUE CLOTH,0,LISA,RISA,L->R,0,stretch_2.0x,,,no
S0233,001120119,SO ALICE WENT INTO THE LIVING ROOM,SO ALICE WENT INTO THE LIVING LOOM,6,ROOM,LOOM,R->L,6,stretch_1.6x,1.28,1.56,yes
S0234,001120136,I WANT TO BE A NURSE,I VANT TO BE A NURSE,1,WANT,VANT,W->V,1,stretch_1.6x,0.14,0.32,yes
S0235,001120148,MANDY LIVED IN CANBERRA,MANDY RIVED IN CANBERRA,1,LIVED,RIVED,L->R,1,stretch_2.0x,0.3,0.62,yes
S0236,001120156,THE DUCKS WANT SOME BREAD,THE DUCKS WANT SOME BREA,4,BREAD,BREA,FINAL_STOP_DROP,4,stretch_2.0x,0.74,1.02,yes
S0237,001120159,SHE WAS VERY PRETTY,SHE WAS WERY PRETTY,2,VERY,WERY,V->W,2,stretch_1.6x,0.2,0.46,yes
S0238,001120162,WHERE IS YOUR BOAT,WHERE IS YOUR BOA,3,BOAT,BOA,FINAL_STOP_DROP,3,stretch_2.0x,0.42,0.6,yes
S0239,001130005,LYNDA LIKES THE PURPLE ONE,LYNDA RIKES THE PURPLE ONE,1,LIKES,RIKES,L->R,1,stretch_1.6x,0.28,0.6,yes
S0240,001130019,LISA CAN DRAW THE ZEBRA,RISA CAN DRAW THE ZEBRA,0,LISA,RISA,L->R,0,stretch_2.0x,0.0,0.18,yes
S0241,001130021,TOM LIVES IN FRANCE,TOM RIVES IN FRANCE,1,LIVES,RIVES,L->R,1,stretch_2.0x,,,no
S0242,001130023,ANDY IS FROM LAOS,ANDY IS FROM RAOS,3,LAOS,RAOS,L->R,3,stretch_2.0x,0.56,0.84,yes
S0243,001130073,MANDY GIVES UP ROWING,MANDY GIVES UP LOWING,3,ROWING,LOWING,R->L,3,stretch_1.6x,0.8,1.26,yes
S0244,001130087,LET'S DRAW ANN'S ARM,RET'S DRAW ANN'S ARM,0,LET'S,RET'S,L->R,0,stretch_1.6x,0.0,0.28,yes
S0245,001130123,ANN WAS WALKING TO MUSIC ROOM,ANN WAS WALKING TO MUSIC LOOM,5,ROOM,LOOM,R->L,5,stretch_2.0x,1.12,1.46,yes
S0246,001130155,AND I'M A CAT,AN I'M A CAT,0,AND,AN,FINAL_STOP_DROP,0,stretch_1.6x,0.0,0.26,yes
S0247,001130168,AND THE BUS TO DRIVE,AN THE BUS TO DRIVE,0,AND,AN,FINAL_STOP_DROP,0,stretch_2.0x,0.0,0.12,yes
S0248,001140008,MIKE HAS GOT THE LONGAN,MIKE HAS GOT THE RONGAN,4,LONGAN,RONGAN,L->R,4,stretch_1.6x,,,no
S0249,001140068,SHE IS GOOD AT TENNIS,SHE IS GOO AT TENNIS,2,GOOD,GOO,FINAL_STOP_DROP,2,stretch_1.6x,0.22,0.4,yes
